feature,fraud_mean,legit_mean,cohens_d
V14,-6.835946034242057,0.011667983931694605,-2.228135926624821
V4,4.472591015834153,-0.010439974774329853,1.9849586130671857
V12,-6.103254016904439,0.009475752444318754,-1.8476190532731172
V11,3.7163466122536013,-0.006003777751483107,1.8441410319896077
V10,-5.453274110501309,0.007663225565805389,-1.6025355447117542
V16,-4.000956270761194,0.007845091011250985,-1.4448840005628723
V3,-6.729598957711674,0.012853470958343296,-1.3502766888277886
V9,-2.5221241496636746,0.002612792764503291,-1.3253431171507308
V17,-6.463285283202743,0.010963389701460647,-1.3069046209571862
V2,3.405964681895525,-0.00982923029899433,1.0893749937355952
V7,-5.175912109207488,0.010446877877581829,-1.0540710381448266
V18,-2.157070884519879,0.0051197569658972516,-1.0135907575803957
V6,-1.432517862629184,0.0012507494109572105,-0.9341862162372239
V1,-4.498280129044758,0.013438642328427682,-0.9290736608147806
V5,-2.957196758790482,0.006768791107379448,-0.7690923962622755
V19,0.6691429926717859,-0.0013820968751123582,0.5463962094959106
V20,0.40504283092810434,-0.0004888872308814452,0.38204949684767936
V8,0.9532545908983874,-0.0024477051694095334,0.23692822585070988
V21,0.46655032190048024,-0.0011502974611994898,0.23426755292269305
V27,0.21377375073690713,0.0014089980496590946,0.2299245216944769
V24,-0.10664298008218374,0.00039264606195942465,-0.18993502145071006
V28,0.07827024722452902,0.00041752371998400763,0.17596529401371083
V26,0.05045623023325889,6.54345239241635e-05,0.10661460511359515
V13,-0.09432409141080232,0.000761893766372863,-0.09028946732011452
V22,0.0866387566862272,-0.0001597294372844127,0.08861211106675468
V23,-0.09646415866751903,0.00035958571960008497,-0.08393113445962422
V15,-0.07282957384768347,0.0011661964990720805,-0.07532685615595218
V25,0.04061511665754739,-0.0003005976324783138,0.060263450577172015
